id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1494203969891356674,1494203969891356674,2022-02-17 12:26:02 India Standard Time,2022-02-17,12:26:02,+0530,1435568221289992196,dellyranksindia,DellyRanks,,How digital rupee will impact people? What experts say #digitalcurrency #digitalrupee #digitalrupeeimpactpeople  https://t.co/2cl4iLq3vA  https://t.co/2cl4iLq3vA,en,[],"['https://dellyranks.com/how-digital-rupee-will-impact-people-what-experts-say/?feed_id=74605&_unique_id=620df181d9a7c', 'https://dellyranks.com/how-digital-rupee-will-impact-people-what-experts-say/?feed_id=74605&_unique_id=620df181d9a7c']",[],0,0,0,"['digitalcurrency', 'digitalrupee', 'digitalrupeeimpactpeople']",[],https://twitter.com/dellyranksindia/status/1494203969891356674,False,,0,,,,,,,,[],,,,
1494177291034841093,1494177291034841093,2022-02-17 10:40:01 India Standard Time,2022-02-17,10:40:01,+0530,2228021594,vidhi_india,Vidhi Centre For Legal Policy,,"What does it mean for India to launch a #digitalrupee? @ShehnazAhmed (Lead, Fintech) breaks down what considerations the RBI must take into account while launching a central bank digital currency for India, with Aashima Sawhney &amp; Yeesha Shriyan. Watch:  https://t.co/JHWgbVaFfI  https://t.co/mLZm5SXKh2",en,"[{'screen_name': 'shehnazahmed', 'name': 'shehnaz ahmed', 'id': '77745793'}]",['https://buff.ly/3vchsYz'],['https://pbs.twimg.com/media/FLxiU6SWYAAwjPa.jpg'],0,2,4,['digitalrupee'],[],https://twitter.com/Vidhi_India/status/1494177291034841093,False,,1,https://pbs.twimg.com/media/FLxiU6SWYAAwjPa.jpg,,,,,,,[],,,,
1494062929670393858,1494062929670393858,2022-02-17 03:05:35 India Standard Time,2022-02-17,03:05:35,+0530,284577286,twitt_chauhan,𝙍𝙖𝙟𝙚𝙨𝙝 𝘾𝙝𝙖𝙪𝙝𝙖𝙣,,#Banking | #digitalrupee in itself will be the underlying payment mode that can be used for digital payments in lieu of currency/cash #CBDC   https://t.co/MEwNSwvI54,en,[],['https://www.livemint.com/industry/banking/how-is-the-digital-rupee-different-from-upi-payments-11644985106593.html'],[],0,0,1,"['banking', 'digitalrupee', 'cbdc']",[],https://twitter.com/twitt_chauhan/status/1494062929670393858,False,,0,,,,,,,,[],,,,
1493865230102933506,1493865230102933506,2022-02-16 14:00:00 India Standard Time,2022-02-16,14:00:00,+0530,1397430333503541249,abpdesam,ABP Desam,,యూపీఐ చెల్లింపులకు 'డిజిటల్‌ రూపాయి'కి తేడా ఇదే! #DigitalRupee  #UPI  #DigitalCurrency  #RBI  https://t.co/wUETPk3Vj6,te,[],['https://telugu.abplive.com/business/personal-finance/rbi-digital-currency-how-digital-rupee-different-from-upi-payments-explained-22747'],[],0,0,1,"['digitalrupee', 'upi', 'digitalcurrency', 'rbi']",[],https://twitter.com/abpdesam/status/1493865230102933506,False,,0,,,,,,,,[],,,,
1493807756104642562,1493807756104642562,2022-02-16 10:11:37 India Standard Time,2022-02-16,10:11:37,+0530,2541264900,expcomputer,Express Computer,,What is #Cryptocurrency - Should one invest in it? -  https://t.co/YwFXH07Bi5 | #technews #technology #futuretech #AI #ML #IT #Cloud #security #digitalcurrency #bitcoin #digitalrupee,en,[],['https://www.expresscomputer.in/news/what-is-cryptocurrency-should-one-invest-in-it/81126/'],[],0,1,1,"['cryptocurrency', 'technews', 'technology', 'futuretech', 'ai', 'ml', 'it', 'cloud', 'security', 'digitalcurrency', 'bitcoin', 'digitalrupee']",[],https://twitter.com/ExpComputer/status/1493807756104642562,False,,0,,,,,,,,[],,,,
1493777609146056705,1493777609146056705,2022-02-16 08:11:49 India Standard Time,2022-02-16,08:11:49,+0530,120269281,vkeykasat,Vikram Kasat,,"The Reserve Bank of India (#RBI) has given its nod to introduce the #digitalrupee. What is the digital rupee, how will it be different from #cryptocurrency and how will it affect us?  Digital Rupee may just be the solution to curbing currency fraud !!   #BitcoinCash #blockchain  https://t.co/1nsf0SW12o",en,[],[],"['https://pbs.twimg.com/media/FLr2zqOUUAMuZxm.jpg', 'https://pbs.twimg.com/media/FLr2zqSVUA0wxuQ.jpg', 'https://pbs.twimg.com/media/FLr2zqGVgAYAGuc.jpg']",0,6,22,"['rbi', 'digitalrupee', 'cryptocurrency', 'bitcoincash', 'blockchain']",[],https://twitter.com/VkeyKasat/status/1493777609146056705,False,,1,https://pbs.twimg.com/media/FLr2zqOUUAMuZxm.jpg,,,,,,,[],,,,
1493609793474686978,1493608395781599232,2022-02-15 21:04:59 India Standard Time,2022-02-15,21:04:59,+0530,2242478546,nmleo1,N Minocha Sandwiched by #COVID & #lockdown viruses,,Why did they not consider #donating this #BigTicket #cheque to #pmcaresfund ?   And why not #electoralbonds ?  Why they didn't delay #donation till launch of #digitalrupee ?  😇😂🥳Let #GodiMedia #debate such #grave issues,en,[],[],[],0,0,0,"['donating', 'bigticket', 'cheque', 'pmcaresfund', 'electoralbonds', 'donation', 'digitalrupee', 'godimedia', 'debate', 'grave']",[],https://twitter.com/nmleo1/status/1493609793474686978,False,,0,,,,,,,,[],,,,
1493582115857997825,1493582115857997825,2022-02-15 19:15:00 India Standard Time,2022-02-15,19:15:00,+0530,237572296,kpmgindia,KPMG India,,"The arrival of the #digitalrupee will make new models around #neobanking, #wealthtech, and #insurtech more interesting in the future: @san_doshi, @KPMGIndia  https://t.co/K3vJFtTuSG | #fintech",en,"[{'screen_name': 'san_doshi', 'name': 'sanjay doshi', 'id': '736054922504867840'}, {'screen_name': 'kpmgindia', 'name': 'kpmg india', 'id': '237572296'}]",['http://ow.ly/HKMh50HVsbe'],[],0,0,1,"['digitalrupee', 'neobanking', 'wealthtech', 'insurtech', 'fintech']",[],https://twitter.com/KPMGIndia/status/1493582115857997825,False,,0,,,,,,,,[],,,,
1493518993822720001,1493518993822720001,2022-02-15 15:04:11 India Standard Time,2022-02-15,15:04:11,+0530,1312004529743749120,wealthzi_in,Wealthzi,,Here is all you need to know about #digitalrupee which is developing a #digitpayment based on #blockchain and other technologies.  Read on: https://t.co/361bmky0aY  #RBI  https://t.co/5Vma89KhI0,en,[],['https://lnkd.in/gj2QEz-R'],[],0,0,3,"['digitalrupee', 'digitpayment', 'blockchain', 'rbi']",[],https://twitter.com/Wealthzi_in/status/1493518993822720001,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1493518927326228481/pu/img/zqkTn2fQJHAGtc5U.jpg,,,,,,,[],,,,
1493505368105836547,1493505368105836547,2022-02-15 14:10:02 India Standard Time,2022-02-15,14:10:02,+0530,3378775006,setl_io,SETL,,CBDC: Here’s what we know about India’s digital rupee  https://t.co/T3XHLIAThm @TechWireAsia  #CBDC #DigitalRupee,en,"[{'screen_name': 'techwireasia', 'name': 'tech wire asia', 'id': '463659150'}]",['http://ow.ly/RJT750HVcWZ'],[],0,0,0,"['cbdc', 'digitalrupee']",[],https://twitter.com/setl_io/status/1493505368105836547,False,,0,,,,,,,,[],,,,
